,ofi_multi_L3_AAPL,ofi_int_10s_AAPL
2024-10-21 12:09:36+00:00,200.0,362.0
2024-10-21 12:09:38+00:00,2.0,364.0
2024-10-21 12:09:42+00:00,-190.0,12.0
2024-10-21 12:09:44+00:00,0.0,12.0
2024-10-21 12:09:48+00:00,200.0,10.0
2024-10-21 12:09:52+00:00,200.0,400.0
2024-10-21 12:09:54+00:00,0.0,400.0
2024-10-21 12:09:56+00:00,227.0,627.0
2024-10-21 12:10:00+00:00,200.0,627.0
2024-10-21 12:10:02+00:00,-200.0,227.0
2024-10-21 12:10:12+00:00,-400.0,-400.0
2024-10-21 12:10:20+00:00,-2.0,-402.0
2024-10-21 12:10:22+00:00,0.0,-2.0
2024-10-21 12:10:24+00:00,0.0,-2.0
2024-10-21 12:10:28+00:00,0.0,-2.0
2024-10-21 12:10:32+00:00,0.0,0.0
2024-10-21 12:10:36+00:00,-200.0,-200.0
2024-10-21 12:10:42+00:00,200.0,0.0
2024-10-21 12:10:44+00:00,200.0,200.0
2024-10-21 12:10:50+00:00,200.0,600.0
2024-10-21 12:10:52+00:00,-10.0,390.0
2024-10-21 12:10:54+00:00,-227.0,-37.0
2024-10-21 12:10:56+00:00,-28.0,-65.0
2024-10-21 12:10:58+00:00,30.0,-35.0
2024-10-21 12:11:00+00:00,200.0,-35.0
2024-10-21 12:11:02+00:00,200.0,175.0
2024-10-21 12:11:08+00:00,200.0,600.0
2024-10-21 12:11:10+00:00,-200.0,200.0
2024-10-21 12:11:18+00:00,-200.0,-400.0
2024-10-21 12:11:20+00:00,200.0,0.0
2024-10-21 12:11:22+00:00,-227.0,-227.0
2024-10-21 12:11:24+00:00,0.0,-227.0
2024-10-21 12:11:26+00:00,-1.0,-228.0
2024-10-21 12:11:30+00:00,200.0,-28.0
2024-10-21 12:11:34+00:00,-200.0,-1.0
2024-10-21 12:11:36+00:00,180.0,180.0
2024-10-21 12:11:40+00:00,-200.0,-220.0
2024-10-21 12:11:42+00:00,200.0,-20.0
2024-10-21 12:11:44+00:00,-200.0,-20.0
2024-10-21 12:11:48+00:00,228.0,28.0
2024-10-21 12:11:50+00:00,0.0,228.0
2024-10-21 12:11:52+00:00,-200.0,-172.0
2024-10-21 12:11:56+00:00,200.0,228.0
2024-10-21 12:12:02+00:00,-180.0,20.0
2024-10-21 12:12:08+00:00,0.0,-180.0
2024-10-21 12:12:10+00:00,200.0,20.0
2024-10-21 12:12:22+00:00,-200.0,-200.0
2024-10-21 12:12:24+00:00,200.0,0.0
2024-10-21 12:12:28+00:00,-200.0,-200.0
2024-10-21 12:12:30+00:00,0.0,-200.0
2024-10-21 12:12:40+00:00,200.0,200.0
2024-10-21 12:12:42+00:00,-228.0,-28.0
2024-10-21 12:12:46+00:00,-50.0,-78.0
2024-10-21 12:12:48+00:00,2.0,-76.0
2024-10-21 12:12:50+00:00,-190.0,-466.0
2024-10-21 12:12:52+00:00,27.0,-211.0
2024-10-21 12:12:58+00:00,253.0,90.0
2024-10-21 12:13:10+00:00,-200.0,-200.0
2024-10-21 12:13:20+00:00,-226.0,-226.0
2024-10-21 12:13:22+00:00,400.0,174.0
2024-10-21 12:13:24+00:00,227.0,401.0
2024-10-21 12:13:28+00:00,0.0,401.0
2024-10-21 12:13:32+00:00,-173.0,54.0
2024-10-21 12:13:34+00:00,-27.0,-200.0
2024-10-21 12:13:38+00:00,200.0,0.0
2024-10-21 12:13:42+00:00,2.0,175.0
2024-10-21 12:13:44+00:00,479.0,681.0
2024-10-21 12:13:46+00:00,-424.0,257.0
2024-10-21 12:13:48+00:00,-200.0,-143.0
2024-10-21 12:13:54+00:00,228.0,-396.0
2024-10-21 12:13:56+00:00,173.0,201.0
2024-10-21 12:14:00+00:00,-146.0,255.0
2024-10-21 12:14:06+00:00,-22.0,-168.0
2024-10-21 12:14:10+00:00,200.0,178.0
2024-10-21 12:14:16+00:00,-400.0,-200.0
2024-10-21 12:14:18+00:00,200.0,0.0
2024-10-21 12:14:20+00:00,-127.0,-327.0
2024-10-21 12:14:28+00:00,200.0,73.0
